,ID,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
217,217,2015-01-10,02:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
218,218,2015-01-10,03:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
219,219,2015-01-10,04:00,Americana - Vila Santa Maria,SP01,MP10,11.0,ug/m3,automatica
220,220,2015-01-10,05:00,Americana - Vila Santa Maria,SP01,MP10,31.0,ug/m3,automatica
221,221,2015-01-10,06:00,Americana - Vila Santa Maria,SP01,MP10,25.0,ug/m3,automatica
222,222,2015-01-10,07:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
223,223,2015-01-10,08:00,Americana - Vila Santa Maria,SP01,MP10,29.0,ug/m3,automatica
224,224,2015-01-10,09:00,Americana - Vila Santa Maria,SP01,MP10,43.0,ug/m3,automatica
225,225,2015-01-10,10:00,Americana - Vila Santa Maria,SP01,MP10,32.0,ug/m3,automatica
226,226,2015-01-10,11:00,Americana - Vila Santa Maria,SP01,MP10,10.0,ug/m3,automatica
227,227,2015-01-10,12:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
228,228,2015-01-10,13:00,Americana - Vila Santa Maria,SP01,MP10,13.0,ug/m3,automatica
229,229,2015-01-10,14:00,Americana - Vila Santa Maria,SP01,MP10,4.0,ug/m3,automatica
230,230,2015-01-10,15:00,Americana - Vila Santa Maria,SP01,MP10,16.0,ug/m3,automatica
231,231,2015-01-10,16:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
232,232,2015-01-10,17:00,Americana - Vila Santa Maria,SP01,MP10,20.0,ug/m3,automatica
233,233,2015-01-10,18:00,Americana - Vila Santa Maria,SP01,MP10,7.0,ug/m3,automatica
234,234,2015-01-10,19:00,Americana - Vila Santa Maria,SP01,MP10,6.0,ug/m3,automatica
235,235,2015-01-10,20:00,Americana - Vila Santa Maria,SP01,MP10,3.0,ug/m3,automatica
236,236,2015-01-10,21:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
237,237,2015-01-10,22:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
238,238,2015-01-10,23:00,Americana - Vila Santa Maria,SP01,MP10,31.0,ug/m3,automatica
239,239,2015-01-10,23:55,Americana - Vila Santa Maria,SP01,MP10,33.0,ug/m3,automatica
240,240,2015-01-11,01:00,Americana - Vila Santa Maria,SP01,MP10,19.0,ug/m3,automatica
241,241,2015-01-11,02:00,Americana - Vila Santa Maria,SP01,MP10,22.0,ug/m3,automatica
242,242,2015-01-11,03:00,Americana - Vila Santa Maria,SP01,MP10,17.0,ug/m3,automatica
243,243,2015-01-11,04:00,Americana - Vila Santa Maria,SP01,MP10,39.0,ug/m3,automatica
244,244,2015-01-11,05:00,Americana - Vila Santa Maria,SP01,MP10,21.0,ug/m3,automatica
245,245,2015-01-11,06:00,Americana - Vila Santa Maria,SP01,MP10,30.0,ug/m3,automatica
246,246,2015-01-11,07:00,Americana - Vila Santa Maria,SP01,MP10,15.0,ug/m3,automatica
